BASIC,496.6,646.725,781.75,892.75,979.95,1049.25,1109.225,1168.675,1234.75,1311.75,1400.45,1497.95,1598.125,1692.8,1773.275,1832.55,1868.225,1885.7,1902.275,1951.65
ORIGINAL,1636.52,1786.645,1921.67,2032.67,2119.87,2189.17,2249.145,2308.595,2374.67,2451.67,2540.37,2637.87,2738.045,2832.72,2913.195,2972.47,3008.145,3025.62,3042.195,3091.57
OPTIMIZED,1582.634,1659.822,1741.299,1806.176,1802.925,1815.078,1897.414,1975.323,2051.694,2114.948,2123.554,2144.018,2195.765,2280.458,2384.863,2440.612,2443.837,2527.512,2518.011,2718.904
ENHANCED (possono andare ovunque),492.714,569.902,665.982,723.33,812.294,921.794,1027.369,1119.99,1174.326,1209.062,1404.136,1490.066,1541.813,1644.112,1766.439,1882.55,1905.837,1935.7,1952.275,2001.65
ENHANCED (predilige server),711.347,788.233,869.363,934.24,930.989,943.142,1027.369,1119.99,1187.879,1262.722,1404.136,1490.066,1541.813,1644.112,1766.439,1892.354,1905.837,1987.648,1995.531,2095.412
RASPBERRY,143.663,181.2,571.586,635.715,632.464,644.617,944.937,1022.846,1099.217,1162.471,1171.077,1191.541,1489.705,1545.965,1650.37,1706.119,1709.344,2028.584,2019.161,2213.798
