,desktop,server,desktop,server,desktop,server,desktop,server,desktop,server,desktop,server,desktop,server,desktop,server,desktop,server,desktop,server,desktop,server,desktop,server,desktop,server,desktop,server,desktop,server,desktop,server,desktop,server,desktop,server,desktop,server,desktop,server
BASIC,11.727,0,16.238,0,20.748,0,25.259,0,29.769,0,34.28,0,38.79,0,43.3,0,47.811,0,52.321,0,56.832,0,61.342,0,65.853,0,70.363,0,74.874,0,79.384,0,83.895,0,88.405,0,92.916,0,97.426,0
ORIGINAL,11.727,3.287,16.238,3.287,20.748,3.287,25.259,3.287,29.769,3.287,34.28,3.287,38.79,3.287,43.3,3.287,47.811,3.287,52.321,3.287,56.832,3.287,61.342,3.287,65.853,3.287,70.363,3.287,74.874,3.287,79.384,3.287,83.895,3.287,88.405,3.287,92.916,3.287,97.426,3.287
OPTIMIZED,11.727,3.287,16.238,3.287,10.464,10.312,7.217,15.611,7.217,18.693,7.217,21.774,7.217,24.855,7.217,27.936,7.217,31.017,7.217,34.099,7.217,37.18,7.217,40.261,9.562,41.74,7.217,46.423,7.217,49.505,7.217,52.586,7.217,55.667,10.464,56.53,10.645,59.488,21.65,55.051
ENHANCED (possono andare ovunque),11.727,0,16.238,0,20.748,0,25.259,0,29.769,0,34.28,0,11.006,19.637,15.877,19.391,47.811,0,52.321,0,29.047,19.637,7.217,38.289,9.562,39.768,14.794,39.275,20.748,38.289,79.384,0,28.687,39.028,88.405,0,92.916,0,97.426,0
ENHANCED (predilige server),7.217,3.739,7.217,6.82,10.464,7.682,7.217,12.982,7.217,16.063,7.217,19.144,11.006,19.637,15.877,19.391,20.207,19.514,25.259,19.144,29.047,19.637,7.217,38.289,9.562,39.768,14.794,39.275,20.748,38.289,53.404,18.405,28.687,39.028,62.425,18.405,65.492,19.391,72.167,17.912
RASPBERRY,42.795,0,83.424,0,2.167,9.901,2.167,12.982,2.167,16.063,2.167,19.144,2.167,22.883,2.167,25.964,2.167,29.045,2.167,32.127,2.167,35.208,2.167,38.289,2.167,42.028,2.167,45.109,2.167,48.19,2.167,51.271,2.167,54.352,2.167,58.091,2.167,61.172,2.167,64.253
