,desktop,server,desktop,server,desktop,server,desktop,server,desktop,server,desktop,server,desktop,server,desktop,server,desktop,server,desktop,server,desktop,server,desktop,server,desktop,server,desktop,server,desktop,server,desktop,server,desktop,server,desktop,server,desktop,server,desktop,server
BASIC,8.720,0.000,13.231,0.000,17.741,0.000,22.252,0.000,26.762,0.000,31.273,0.000,35.783,0.000,40.293,0.000,44.804,0.000,49.314,0.000,53.825,0.000,58.335,0.000,62.846,0.000,67.356,0.000,71.867,0.000,76.377,0.000,80.888,0.000,85.398,0.000,89.909,0.000,94.419,0.000
ORIGINAL,8.720,3.287,13.231,3.287,17.741,3.287,22.252,3.287,26.762,3.287,31.273,3.287,35.783,3.287,40.293,3.287,44.804,3.287,49.314,3.287,53.825,3.287,58.335,3.287,62.846,3.287,67.356,3.287,71.867,3.287,76.377,3.287,80.888,3.287,85.398,3.287,89.909,3.287,94.419,3.287
OPTIMIZED,10.224,7.600,10.224,11.914,10.224,16.228,10.224,20.541,12.629,22.390,10.224,29.169,12.758,30.894,10.224,37.796,11.212,41.000,10.224,46.423,10.224,50.737,10.224,55.051,10.224,59.364,10.224,63.678,10.224,67.992,10.224,72.305,10.224,76.619,10.224,80.933,10.224,85.246,10.224,89.560
ENHANCED,10.224,4.971,10.224,9.285,10.224,13.598,10.224,17.912,12.629,19.761,16.667,19.884,21.092,19.637,25.345,19.391,29.554,19.514,34.280,19.144,18.944,39.275,22.595,39.768,10.224,58.050,13.488,58.912,19.030,57.433,25.345,55.215,26.375,58.543,68.215,18.405,71.695,19.391,77.580,17.912
