BASIC,595.92,776.07,938.1,1071.3,1175.94,1259.1,1331.07,1402.41,1481.7,1574.1,1680.54,1797.54,1917.75,2031.36,2127.93,2199.06,2241.87,2262.84,2282.73,2341.98
ORIGINAL,1735.84,1915.99,2078.02,2211.22,2315.86,2399.02,2470.99,2542.33,2621.62,2714.02,2820.46,2937.46,3057.67,3171.28,3267.85,3338.98,3381.79,3402.76,3422.65,3481.9
OPTIMIZED,1666.656,1756.168,1862.312,1872.433,1885.828,1977.9,2069.714,2178.043,2194.012,2207.236,2291.57,2377.593,2476.445,2518.911,2528.644,2697.837,2696.82,2832.504,2836.599,2985.012
ENHANCED (si possono muovere),576.736,666.248,780.89,857.996,960.232,1087.28,1228.586,1341.641,1393.67,1433.24,1637.912,1745.86,1861.438,1982.672,2092.676,2249.06,2273.288,2312.84,2332.73,2391.98
ENHANCED (predilige server),796.246,887.86,990.376,1000.497,1013.892,1107.742,1228.586,1341.641,1416.425,1499.624,1637.912,1745.86,1861.438,1982.672,2092.676,2258.864,2273.288,2364.788,2375.986,2485.742
RASPBERRY,161.855,207.44,632.146,642.267,655.662,965.718,1057.532,1165.861,1181.83,1195.054,1497.372,1583.395,1682.247,1724.713,1734.446,2121.623,2120.606,2256.29,2260.385,2635.717
