"Time","smart plug measure","timestamp"
2022-02-23 08:25:30,82.0,1645601129
2022-02-23 08:25:40,82.5,1645601139
2022-02-23 08:25:50,82.5,1645601149
2022-02-23 08:26:00,81.9,1645601159
2022-02-23 08:26:10,81.9,1645601169
2022-02-23 08:26:20,81.9,1645601179
2022-02-23 08:26:30,81.8,1645601189
2022-02-23 08:26:40,83.3,1645601199
2022-02-23 08:26:50,83.3,1645601209
2022-02-23 08:27:00,81.8,1645601219
2022-02-23 08:27:10,81.8,1645601229
2022-02-23 08:27:20,82.0,1645601239
2022-02-23 08:27:30,117,1645601249
2022-02-23 08:27:40,117,1645601259
2022-02-23 08:27:50,119,1645601269
2022-02-23 08:28:00,119,1645601279
2022-02-23 08:28:10,120,1645601289
2022-02-23 08:28:20,120,1645601299
2022-02-23 08:28:30,120,1645601309
2022-02-23 08:28:40,120,1645601319
2022-02-23 08:28:50,120,1645601329
2022-02-23 08:29:00,120,1645601339
2022-02-23 08:29:10,116,1645601349
2022-02-23 08:29:20,121,1645601359
2022-02-23 08:29:30,121,1645601369
2022-02-23 08:29:40,121,1645601379
2022-02-23 08:29:50,121,1645601389
2022-02-23 08:30:00,121,1645601399
2022-02-23 08:30:10,120,1645601409
2022-02-23 08:30:20,120,1645601419
2022-02-23 08:30:30,121,1645601429
2022-02-23 08:30:40,121,1645601439
2022-02-23 08:30:50,121,1645601449
2022-02-23 08:31:00,122,1645601459
2022-02-23 08:31:10,122,1645601469
2022-02-23 08:31:20,117,1645601479
2022-02-23 08:31:30,121,1645601489
2022-02-23 08:31:40,121,1645601499
2022-02-23 08:31:50,121,1645601509
2022-02-23 08:32:00,120,1645601519
2022-02-23 08:32:10,120,1645601529
2022-02-23 08:32:20,115,1645601539
2022-02-23 08:32:30,115,1645601549
2022-02-23 08:32:40,121,1645601559
2022-02-23 08:32:50,121,1645601569
2022-02-23 08:33:00,121,1645601579
2022-02-23 08:33:10,122,1645601589
2022-02-23 08:33:20,117,1645601599
2022-02-23 08:33:30,117,1645601609
2022-02-23 08:33:40,121,1645601619
2022-02-23 08:33:50,121,1645601629
2022-02-23 08:34:00,99.9,1645601639
2022-02-23 08:34:10,99.9,1645601649
2022-02-23 08:34:20,99.8,1645601659
2022-02-23 08:34:30,99.8,1645601669
2022-02-23 08:34:40,99.3,1645601679
2022-02-23 08:34:50,99.3,1645601689
2022-02-23 08:35:00,99.3,1645601699
2022-02-23 08:35:10,99.2,1645601709
2022-02-23 08:35:20,99.2,1645601719
2022-02-23 08:35:30,122,1645601729
2022-02-23 08:35:40,122,1645601739
2022-02-23 08:35:50,122,1645601749
2022-02-23 08:36:00,123,1645601759
2022-02-23 08:36:10,123,1645601769
2022-02-23 08:36:20,123,1645601779
2022-02-23 08:36:30,123,1645601789
2022-02-23 08:36:40,122,1645601799
2022-02-23 08:36:50,124,1645601809
2022-02-23 08:37:00,124,1645601819
2022-02-23 08:37:10,124,1645601829
2022-02-23 08:37:20,124,1645601839
2022-02-23 08:37:30,124,1645601849
2022-02-23 08:37:40,125,1645601859
2022-02-23 08:37:50,125,1645601869
2022-02-23 08:38:00,125,1645601879
2022-02-23 08:38:10,123,1645601889
2022-02-23 08:38:20,123,1645601899
2022-02-23 08:38:30,125,1645601909
2022-02-23 08:38:40,124,1645601919
2022-02-23 08:38:50,124,1645601929
2022-02-23 08:39:00,124,1645601939
2022-02-23 08:39:10,124,1645601949
2022-02-23 08:39:20,124,1645601959
2022-02-23 08:39:30,125,1645601969
2022-02-23 08:39:40,125,1645601979
2022-02-23 08:39:50,121,1645601989
2022-02-23 08:40:00,121,1645601999
