BASIC,695.24,905.415,1094.45,1249.85,1371.93,1468.95,1552.915,1636.145,1728.65,1836.45,1960.63,2097.13,2237.375,2369.92,2482.585,2565.57,2615.515,2639.98,2663.185,2732.31
ORIGINAL,1835.16,2045.335,2234.37,2389.77,2511.85,2608.87,2692.835,2776.065,2868.57,2976.37,3100.55,3237.05,3377.295,3509.84,3622.505,3705.49,3755.435,3779.9,3803.105,3872.23
OPTIMIZED,1755.426,1864.679,1948.659,1958.36,2022.564,2139.055,2253.125,2267.347,2312.476,2444.138,2534.833,2592.142,2611.694,2698.393,2847.771,2919.111,2918.093,3109.647,3104.193,3251.12
ENHANCED (liberi di muoversi),665.947,775.318,908.421,992.662,1113.359,1265.076,1436.679,1557.25,1622.216,1670.142,1918.002,2045.45,2175.726,2271.888,2447.331,2615.57,2646.933,2689.98,2713.185,2782.31
ENHANCED (preferire I server),883.49,992.743,1076.723,1086.424,1150.628,1273.228,1436.679,1557.25,1635.769,1723.802,1918.002,2045.45,2175.726,2271.888,2447.331,2625.374,2646.933,2741.928,2756.441,2876.072
RASPBERRY,180.948,233.68,658.788,668.489,967.369,1067.168,1181.238,1195.46,1500.354,1590.582,1680.93,1738.239,1757.791,2062.474,2211.852,2283.192,2282.174,2691.712,2686.786,2833.185
