,desktop,server,desktop,server,desktop,server,desktop,server,desktop,server,desktop,server,desktop,server,desktop,server,desktop,server,desktop,server,desktop,server,desktop,server,desktop,server,desktop,server,desktop,server,desktop,server,desktop,server,desktop,server,desktop,server,desktop,server
BASIC,11.727,0,16.238,0,20.748,0,25.259,0,29.769,0,34.28,0,38.79,0,43.3,0,47.811,0,52.321,0,56.832,0,61.342,0,65.853,0,70.363,0,74.874,0,79.384,0,83.895,0,88.405,0,92.916,0,97.426,0
ORIGINAL,11.727,3.287,16.238,3.287,20.748,3.287,25.259,3.287,29.769,3.287,34.28,3.287,38.79,3.287,43.3,3.287,47.811,3.287,52.321,3.287,56.832,3.287,61.342,3.287,65.853,3.287,70.363,3.287,74.874,3.287,79.384,3.287,83.895,3.287,88.405,3.287,92.916,3.287,97.426,3.287
OPTIMIZED,7.217,7.6,7.217,11.914,7.217,16.228,7.217,20.541,9.794,22.39,7.217,29.169,7.217,33.482,7.217,37.796,8.377,41,13.66,40.261,7.217,50.737,7.217,55.051,7.217,59.364,7.217,63.678,7.217,67.992,7.217,72.305,7.217,76.619,7.217,80.933,14.562,78.221,7.217,89.56
ENHANCED (liberi di muoversi),11.727,0,16.238,0,20.748,0,25.259,0,29.769,0,34.28,0,18.944,19.637,23.712,19.391,47.811,0,52.321,0,17.14,39.275,21.135,39.768,7.217,58.05,10.825,58.912,16.882,57.433,79.384,0,24.743,58.543,88.405,0,92.916,0,97.426,0
ENHANCED (preferire I server),7.217,4.971,7.217,9.285,7.217,13.598,7.217,17.912,9.794,19.761,14.176,19.884,18.944,19.637,23.712,19.391,28.094,19.514,32.991,19.144,17.14,39.275,21.135,39.768,7.217,58.05,10.825,58.912,16.882,57.433,60.827,18.405,24.743,58.543,69.848,18.405,73.327,19.391,79.384,17.912
RASPBERRY,42.795,0,83.424,0,2.167,13.598,2.167,17.912,2.167,22.883,2.167,27.197,2.167,31.51,2.167,35.824,2.167,40.795,2.167,45.109,2.167,49.422,2.167,53.736,2.167,58.05,2.167,63.021,2.167,67.334,2.167,71.648,2.167,75.962,2.167,80.933,2.167,85.246,2.167,89.56
