,crownlabs,desktop,laptop-fulvio,raspi,crownlabs,desktop,laptop-fulvio,raspi,crownlabs,desktop,laptop-fulvio,raspi,crownlabs,desktop,laptop-fulvio,raspi,crownlabs,desktop,laptop-fulvio,raspi,crownlabs,desktop,laptop-fulvio,raspi,crownlabs,desktop,laptop-fulvio,raspi,crownlabs,desktop,laptop-fulvio,raspi,crownlabs,desktop,laptop-fulvio,raspi,crownlabs,desktop,laptop-fulvio,raspi,crownlabs,desktop,laptop-fulvio,raspi,crownlabs,desktop,laptop-fulvio,raspi,crownlabs,desktop,laptop-fulvio,raspi,crownlabs,desktop,laptop-fulvio,raspi,crownlabs,desktop,laptop-fulvio,raspi
BASIC,0.000,9.622,13.732,59.588,0.000,15.636,22.314,0.000,0.000,21.650,30.896,0.000,0.000,27.664,39.478,0.000,0.000,33.678,48.060,0.000,0.000,39.692,56.643,0.000,0.000,45.706,65.225,0.000,0.000,51.720,73.807,0.000,0.000,57.734,82.389,0.000,0.000,63.748,90.972,0.000,0.000,69.762,99.554,0.000,0.000,75.776,0.000,0.000,0.000,81.790,0.000,0.000,0.000,87.804,0.000,0.000,0.000,93.818,0.000,0.000
ORIGINAL,3.287,9.622,13.732,59.588,7.395,15.636,22.314,27.086,9.449,21.650,30.896,27.086,11.503,27.664,39.478,27.086,13.557,33.678,48.060,27.086,15.611,39.692,56.643,27.086,17.666,45.706,65.225,27.086,19.720,51.720,73.807,27.086,21.774,57.734,82.389,27.086,23.828,63.748,90.972,27.086,25.882,69.762,99.554,27.086,52.586,75.776,13.732,27.086,56.694,81.790,13.732,27.086,60.802,87.804,13.732,27.086,64.911,93.818,13.732,27.086
OPTIMIZED,3.287,9.622,36.045,16.251,7.395,9.622,44.628,27.086,9.449,9.622,60.076,27.086,11.503,9.622,75.524,27.086,13.557,9.622,90.972,27.086,27.936,9.622,82.389,27.086,32.044,9.622,95.263,27.086,26.293,45.706,73.807,27.086,31.017,30.671,82.389,27.086,52.586,9.622,60.076,27.086,52.997,9.622,82.389,27.086,69.840,9.622,44.628,27.086,72.716,9.622,58.359,27.086,78.057,9.622,61.792,27.086,80.317,9.622,78.098,27.086
ENHANCED,0.000,9.622,36.045,16.251,0.000,9.622,39.478,32.503,0.000,9.622,60.076,0.000,0.000,9.622,75.524,0.000,0.000,9.622,90.972,0.000,0.000,26.461,82.389,0.000,0.000,28.266,95.263,0.000,0.000,52.923,73.807,0.000,0.000,58.937,82.389,0.000,0.000,64.951,90.972,0.000,0.000,69.762,99.554,0.000,0.000,39.692,65.225,0.000,0.000,42.699,69.516,0.000,0.000,45.706,73.807,0.000,0.000,51.119,78.098,0.000
