"Time","power consumption"
2022-09-05 10:51:20,133.0
2022-09-05 10:51:30,133.0
2022-09-05 10:51:40,133.6
2022-09-05 10:51:50,133.6
2022-09-05 10:52:00,133.3
2022-09-05 10:52:10,133.3
2022-09-05 10:52:20,132.9
2022-09-05 10:52:30,132.9
2022-09-05 10:52:40,173.0
2022-09-05 10:52:50,173.0
2022-09-05 10:53:00,173.2
2022-09-05 10:53:10,173.2
2022-09-05 10:53:20,173.2
2022-09-05 10:53:30,173.2
2022-09-05 10:53:40,173.3
2022-09-05 10:53:50,173.3
2022-09-05 10:54:00,174.3
2022-09-05 10:54:10,174.3
2022-09-05 10:54:20,174.3
2022-09-05 10:54:30,174.3
2022-09-05 10:54:40,174.8
2022-09-05 10:54:50,174.8
2022-09-05 10:55:00,174.6
2022-09-05 10:55:10,174.6
2022-09-05 10:55:20,172.5
2022-09-05 10:55:30,172.5
2022-09-05 10:55:40,173.3
2022-09-05 10:55:50,173.3
2022-09-05 10:56:00,174.5
2022-09-05 10:56:10,174.5
2022-09-05 10:56:20,174.1
2022-09-05 10:56:30,174.1
2022-09-05 10:56:40,173.1
2022-09-05 10:56:50,173.1
2022-09-05 10:57:00,160.8
2022-09-05 10:57:10,160.8
2022-09-05 10:57:20,160.8
2022-09-05 10:57:30,160.8
2022-09-05 10:57:40,174.6
2022-09-05 10:57:50,174.6
2022-09-05 10:58:00,174.9
2022-09-05 10:58:10,174.5
2022-09-05 10:58:20,174.4
2022-09-05 10:58:30,174.4
2022-09-05 10:58:40,174.4
2022-09-05 10:58:50,174.4
2022-09-05 10:59:00,151.2
2022-09-05 10:59:10,151.2
2022-09-05 10:59:20,150.9
2022-09-05 10:59:30,150.9
2022-09-05 10:59:40,150.9
2022-09-05 10:59:50,150.9
2022-09-05 11:00:00,150.8
2022-09-05 11:00:10,150.8
2022-09-05 11:00:20,155.6
2022-09-05 11:00:30,155.6
2022-09-05 11:00:40,175.3
2022-09-05 11:00:50,175.3
2022-09-05 11:01:00,175.6
2022-09-05 11:01:10,175.6
2022-09-05 11:01:20,176.0
2022-09-05 11:01:30,176.0
2022-09-05 11:01:40,175.8
2022-09-05 11:01:50,175.8
2022-09-05 11:02:00,177.8
2022-09-05 11:02:10,177.8
2022-09-05 11:02:20,177.9
2022-09-05 11:02:30,177.9
2022-09-05 11:02:40,178.7
2022-09-05 11:02:50,178.7
2022-09-05 11:03:00,179.4
2022-09-05 11:03:10,179.4
2022-09-05 11:03:20,179.3
2022-09-05 11:03:30,179.3
2022-09-05 11:03:40,178.8
2022-09-05 11:03:50,178.8
2022-09-05 11:04:00,178.3
2022-09-05 11:04:10,178.3
2022-09-05 11:04:20,178.6
2022-09-05 11:04:30,178.6
2022-09-05 11:04:40,173.3
2022-09-05 11:04:50,173.3
2022-09-05 11:05:00,173.1
2022-09-05 11:05:10,173.1
2022-09-05 11:05:20,178.8
2022-09-05 11:05:30,178.8
2022-09-05 11:05:40,179.1
2022-09-05 11:05:50,179.1
2022-09-05 11:06:00,175.9
2022-09-05 11:06:10,175.9
2022-09-05 11:06:20,174.6
2022-09-05 11:06:30,174.6
2022-09-05 11:06:40,174.7
2022-09-05 11:06:50,174.7
2022-09-05 11:07:00,151.3
2022-09-05 11:07:10,151.3
2022-09-05 11:07:20,151.1
2022-09-05 11:07:30,151.1
2022-09-05 11:07:40,150.9
2022-09-05 11:07:50,150.9
2022-09-05 11:08:00,150.7
2022-09-05 11:08:10,150.7
2022-09-05 11:08:20,178.2
2022-09-05 11:08:30,178.4
2022-09-05 11:08:40,177.8
2022-09-05 11:08:50,177.8
2022-09-05 11:09:00,179.1
2022-09-05 11:09:10,179.1
2022-09-05 11:09:20,178.8
2022-09-05 11:09:30,178.8
2022-09-05 11:09:40,180.2
2022-09-05 11:09:50,180.2
2022-09-05 11:10:00,180.2
2022-09-05 11:10:10,179.8
2022-09-05 11:10:20,179.8
2022-09-05 11:10:30,180.7
2022-09-05 11:10:40,183.3
2022-09-05 11:10:50,183.3
2022-09-05 11:11:00,183.3
2022-09-05 11:11:10,181.3
2022-09-05 11:11:20,182.2
2022-09-05 11:11:30,182.2
2022-09-05 11:11:40,182.2
2022-09-05 11:11:50,182.1
2022-09-05 11:12:00,182.4
2022-09-05 11:12:10,182.4
2022-09-05 11:12:20,182.4
2022-09-05 11:12:30,182.2
2022-09-05 11:12:40,174.0
2022-09-05 11:12:50,174.0
2022-09-05 11:13:00,174.0
2022-09-05 11:13:10,174.1
2022-09-05 11:13:20,184.1
2022-09-05 11:13:30,184.1
2022-09-05 11:13:40,184.6
2022-09-05 11:13:50,184.6
2022-09-05 11:14:00,185.5
2022-09-05 11:14:10,185.5
2022-09-05 11:14:20,186.7
2022-09-05 11:14:30,186.7
2022-09-05 11:14:40,150.5
2022-09-05 11:14:50,150.5
2022-09-05 11:15:00,150.5
2022-09-05 11:15:10,150.5
2022-09-05 11:15:20,149.3
2022-09-05 11:15:30,149.3
2022-09-05 11:15:40,150.3
2022-09-05 11:15:50,150.3
2022-09-05 11:16:00,150.2
2022-09-05 11:16:10,150.2
2022-09-05 11:16:20,181.1
2022-09-05 11:16:30,181.1
2022-09-05 11:16:40,180.6
2022-09-05 11:16:50,180.6
2022-09-05 11:17:00,181.9
2022-09-05 11:17:10,181.9
2022-09-05 11:17:20,181.7
2022-09-05 11:17:30,181.7
2022-09-05 11:17:40,185.6
2022-09-05 11:17:50,185.6
2022-09-05 11:18:00,185.6
2022-09-05 11:18:10,185.6
2022-09-05 11:18:20,185.6
2022-09-05 11:18:30,187.5
2022-09-05 11:18:40,187.9
2022-09-05 11:18:50,187.9
2022-09-05 11:19:00,182.7
2022-09-05 11:19:10,182.7
2022-09-05 11:19:20,182.7
2022-09-05 11:19:30,182.7
2022-09-05 11:19:40,183.2
2022-09-05 11:19:50,183.2
2022-09-05 11:20:00,185.8
2022-09-05 11:20:10,185.8
2022-09-05 11:20:20,184.8
2022-09-05 11:20:30,184.8
2022-09-05 11:20:40,173.4
2022-09-05 11:20:50,173.4
2022-09-05 11:21:00,173.2
2022-09-05 11:21:10,173.2
2022-09-05 11:21:20,190.4
2022-09-05 11:21:30,190.4
2022-09-05 11:21:40,190.4
2022-09-05 11:21:50,190.6
2022-09-05 11:22:00,190.6
2022-09-05 11:22:10,186.6
2022-09-05 11:22:20,185.0
2022-09-05 11:22:30,185.0
2022-09-05 11:22:40,150.0
2022-09-05 11:22:50,150.0
2022-09-05 11:23:00,150.0
2022-09-05 11:23:10,149.9
2022-09-05 11:23:20,149.7
2022-09-05 11:23:30,149.7
2022-09-05 11:23:40,149.7
2022-09-05 11:23:50,149.8
2022-09-05 11:24:00,149.9
2022-09-05 11:24:10,149.9
2022-09-05 11:24:20,149.9
2022-09-05 11:24:30,182.7
2022-09-05 11:24:40,183.0
2022-09-05 11:24:50,183.0
2022-09-05 11:25:00,184.5
2022-09-05 11:25:10,184.5
2022-09-05 11:25:20,183.1
2022-09-05 11:25:30,183.1
2022-09-05 11:25:40,183.1
2022-09-05 11:25:50,189.7
2022-09-05 11:26:00,189.7
2022-09-05 11:26:10,189.3
2022-09-05 11:26:20,189.3
2022-09-05 11:26:30,192.2
2022-09-05 11:26:40,191.8
2022-09-05 11:26:50,191.8
2022-09-05 11:27:00,191.8
2022-09-05 11:27:10,191.8
2022-09-05 11:27:20,190.0
2022-09-05 11:27:30,190.0
2022-09-05 11:27:40,189.9
2022-09-05 11:27:50,189.9
2022-09-05 11:28:00,189.9
