date,infrastructure0-BASIC,infrastructure0-ORIGINAL,infrastructure0-OPTIMIZED,infrastructure0-ENHANCED,infrastructure1-BASIC,infrastructure1-ORIGINAL,infrastructure1-OPTIMIZED,infrastructure1-ENHANCED,infrastructure2-BASIC,infrastructure2-ORIGINAL,infrastructure2-OPTIMIZED,infrastructure2-ENHANCED,infrastructure3-BASIC,infrastructure3-ORIGINAL,infrastructure3-OPTIMIZED,infrastructure3-ENHANCED,infrastructure4-BASIC,infrastructure4-ORIGINAL,infrastructure4-OPTIMIZED,infrastructure4-ENHANCED,infrastructure5-BASIC,infrastructure5-ORIGINAL,infrastructure5-OPTIMIZED,infrastructure5-ENHANCED,infrastructure6-BASIC,infrastructure6-ORIGINAL,infrastructure6-OPTIMIZED,infrastructure6-ENHANCED,infrastructure7-BASIC,infrastructure7-ORIGINAL,infrastructure7-OPTIMIZED,infrastructure7-ENHANCED,infrastructure8-BASIC,infrastructure8-ORIGINAL,infrastructure8-OPTIMIZED,infrastructure8-ENHANCED,infrastructure9-BASIC,infrastructure9-ORIGINAL,infrastructure9-OPTIMIZED,infrastructure9-ENHANCED,infrastructure10-BASIC,infrastructure10-ORIGINAL,infrastructure10-OPTIMIZED,infrastructure10-ENHANCED,infrastructure11-BASIC,infrastructure11-ORIGINAL,infrastructure11-OPTIMIZED,infrastructure11-ENHANCED,infrastructure12-BASIC,infrastructure12-ORIGINAL,infrastructure12-OPTIMIZED,infrastructure12-ENHANCED,infrastructure13-BASIC,infrastructure13-ORIGINAL,infrastructure13-OPTIMIZED,infrastructure13-ENHANCED,infrastructure14-BASIC,infrastructure14-ORIGINAL,infrastructure14-OPTIMIZED,infrastructure14-ENHANCED
2021-12-14 15:00:00 +0000 UTC,306.830,707.428,703.673,313.744,311.885,561.504,528.630,326.388,311.935,572.471,537.118,325.232,309.615,578.915,543.994,335.279,316.760,593.318,549.405,328.235,336.190,619.074,575.853,351.411,364.585,653.361,618.399,397.076,396.390,691.042,640.697,406.001,425.895,1009.463,988.921,487.565,450.895,1048.011,1064.601,503.666,476.285,1088.465,1070.556,516.171,349.895,1409.000,1213.490,400.777,360.245,1452.704,1224.320,384.100,366.860,1482.985,1247.084,388.140,374.585,1504.782,1260.422,396.530
2021-12-14 15:01:00 +0000 UTC,306.830,707.428,703.673,313.744,311.885,561.504,528.630,326.388,311.935,572.471,537.118,325.232,309.615,578.915,543.994,335.279,316.760,593.318,549.405,328.235,336.190,619.074,575.853,351.411,364.585,653.361,618.399,397.076,396.390,691.042,640.697,406.001,425.895,1009.463,988.921,487.565,450.895,1048.011,1064.601,503.666,476.285,1088.465,1070.556,516.171,349.895,1409.000,1213.490,400.777,360.245,1452.704,1224.320,384.100,366.860,1482.985,1247.084,388.140,374.585,1504.782,1260.422,396.530
2021-12-14 15:02:00 +0000 UTC,306.830,707.428,703.673,313.744,311.885,561.504,528.630,326.388,311.935,572.471,537.118,325.232,309.615,578.915,543.994,335.279,316.760,593.318,549.405,328.235,336.190,619.074,575.853,351.411,364.585,653.361,618.399,397.076,396.390,691.042,640.697,406.001,425.895,1009.463,988.921,487.565,450.895,1048.011,1064.601,503.666,476.285,1088.465,1070.556,516.171,349.895,1409.000,1213.490,400.777,360.245,1452.704,1224.320,384.100,366.860,1482.985,1247.084,388.140,374.585,1504.782,1260.422,396.530
2021-12-14 15:03:00 +0000 UTC,306.830,707.428,703.673,313.744,311.885,561.504,528.630,326.388,311.935,572.471,537.118,325.232,309.615,578.915,543.994,335.279,316.760,593.318,549.405,328.235,336.190,619.074,575.853,351.411,364.585,653.361,618.399,397.076,396.390,691.042,640.697,406.001,425.895,1009.463,988.921,487.565,450.895,1048.011,1064.601,503.666,476.285,1088.465,1070.556,516.171,349.895,1409.000,1213.490,400.777,360.245,1452.704,1224.320,384.100,366.860,1482.985,1247.084,388.140,374.585,1504.782,1260.422,396.530
2021-12-14 15:04:00 +0000 UTC,306.830,707.428,703.673,313.744,311.885,561.504,528.630,326.388,311.935,572.471,537.118,325.232,309.615,578.915,543.994,335.279,316.760,593.318,549.405,328.235,336.190,619.074,575.853,351.411,364.585,653.361,618.399,397.076,396.390,691.042,640.697,406.001,425.895,1009.463,988.921,487.565,450.895,1048.011,1064.601,503.666,476.285,1088.465,1070.556,516.171,349.895,1409.000,1213.490,400.777,360.245,1452.704,1224.320,384.100,366.860,1482.985,1247.084,388.140,374.585,1504.782,1260.422,396.530
2021-12-14 15:05:00 +0000 UTC,306.830,707.428,703.673,313.744,311.885,561.504,528.630,326.388,311.935,572.471,537.118,325.232,309.615,578.915,543.994,335.279,316.760,593.318,549.405,328.235,336.190,619.074,575.853,351.411,364.585,653.361,618.399,397.076,396.390,691.042,640.697,406.001,425.895,1009.463,988.921,487.565,450.895,1048.011,1064.601,503.666,476.285,1088.465,1070.556,516.171,349.895,1409.000,1213.490,400.777,360.245,1452.704,1224.320,384.100,366.860,1482.985,1247.084,388.140,374.585,1504.782,1260.422,396.530
2021-12-14 15:06:00 +0000 UTC,306.830,707.428,703.673,313.744,311.885,561.504,528.630,326.388,311.935,572.471,537.118,325.232,309.615,578.915,543.994,335.279,316.760,593.318,549.405,328.235,336.190,619.074,575.853,351.411,364.585,653.361,618.399,397.076,396.390,691.042,640.697,406.001,425.895,1009.463,988.921,487.565,450.895,1048.011,1064.601,503.666,476.285,1088.465,1070.556,516.171,349.895,1409.000,1213.490,400.777,360.245,1452.704,1224.320,384.100,366.860,1482.985,1247.084,388.140,374.585,1504.782,1260.422,396.530
2021-12-14 15:07:00 +0000 UTC,306.830,707.428,703.673,313.744,311.885,561.504,528.630,326.388,311.935,572.471,537.118,325.232,309.615,578.915,543.994,335.279,316.760,593.318,549.405,328.235,336.190,619.074,575.853,351.411,364.585,653.361,618.399,397.076,396.390,691.042,640.697,406.001,425.895,1009.463,988.921,487.565,450.895,1048.011,1064.601,503.666,476.285,1088.465,1070.556,516.171,349.895,1409.000,1213.490,400.777,360.245,1452.704,1224.320,384.100,366.860,1482.985,1247.084,388.140,374.585,1504.782,1260.422,396.530
2021-12-14 15:08:00 +0000 UTC,306.830,707.428,703.673,313.744,311.885,561.504,528.630,326.388,311.935,572.471,537.118,325.232,309.615,578.915,543.994,335.279,316.760,593.318,549.405,328.235,336.190,619.074,575.853,351.411,364.585,653.361,618.399,397.076,396.390,691.042,640.697,406.001,425.895,1009.463,988.921,487.565,450.895,1048.011,1064.601,503.666,476.285,1088.465,1070.556,516.171,349.895,1409.000,1213.490,400.777,360.245,1452.704,1224.320,384.100,366.860,1482.985,1247.084,388.140,374.585,1504.782,1260.422,396.530
2021-12-14 15:09:00 +0000 UTC,306.830,707.428,703.673,313.744,311.885,561.504,528.630,326.388,311.935,572.471,537.118,325.232,309.615,578.915,543.994,335.279,316.760,593.318,549.405,328.235,336.190,619.074,575.853,351.411,364.585,653.361,618.399,397.076,396.390,691.042,640.697,406.001,425.895,1009.463,988.921,487.565,450.895,1048.011,1064.601,503.666,476.285,1088.465,1070.556,516.171,349.895,1409.000,1213.490,400.777,360.245,1452.704,1224.320,384.100,366.860,1482.985,1247.084,388.140,374.585,1504.782,1260.422,396.530
